entity1,relations,entity2
Q162729,P136,Q645928
Q162729,P136,Q188473
Q211521,P186,Q283
Q70899,P26,Q830183
Q70899,P551,Q2
Q70899,P1049,Q9268
Q205762,P186,Q10990
Q39552,P4934,Q11402
Q39552,P4934,Q11500
Q5214526,P1303,Q6607
Q5214526,P106,Q639669
Q640754,P17,Q38
Q375,P495,Q31
Q17147,P703,Q729
Q846376,P186,Q636056
Q185789,P111,Q39297
Q5166129,P1542,Q21255975
Q5166129,P1382,Q1367353
Q23501,P105,Q7432
Q169872,P1557,Q12136
Q1911141,P186,Q36133
Q81727,P4330,Q11435
Q7378,P462,Q42519
Q7802,P186,Q283
Q352,P106,Q4991371
Q352,P106,Q3242115
Q352,P106,Q372436
Q352,P1196,Q10737
Q352,P1344,Q2763
Q352,P1142,Q7310
Q352,P135,Q7310
Q42962,P1382,Q127980
Q216658,P111,Q39297
Q207766,P462,Q3133
Q311638,P641,Q5377
Q121439,P105,Q7432
Q1519476,P1542,Q208351
Q502672,P186,Q11474
Q502672,P186,Q11469
Q287486,P106,Q639669
Q9368,P2579,Q514
Q155,P530,Q183
Q155,P530,Q43
Q155,P530,Q38
Q3635508,P136,Q8261
Q39427,P737,Q6186
Q10542,P138,Q40843
Q244330,P186,Q11426
Q39689,P1366,Q2329
Q623,P138,Q24489
Q173710,P2789,Q1029907
Q2608812,P1165,Q2
Q1404058,P101,Q11629
Q23485,P105,Q7432
Q25237,P105,Q7432
Q26540,P397,Q2
Q111135,P3828,Q80151
Q111135,P3828,Q22676
Q180289,P17,Q38
Q180289,P495,Q38
Q422321,P186,Q11472
Q37383,P105,Q7432
Q37383,P4000,Q379813
Q4675762,P495,Q38
Q1337738,P4330,Q5
Q2478141,P138,Q123432
Q5558216,P17,Q155
Q105507,P186,Q28472
Q217117,P1382,Q170539
Q132781,P1542,Q81938
Q768575,P2283,Q9128
Q43051,P272,Q7414
Q27564,P1056,Q1420
Q7311,P136,Q1344
Q7311,P106,Q36834
Q7311,P106,Q639669
Q7311,P800,Q192941
Q37602,P462,Q23444
Q37602,P186,Q23392
Q3499072,P937,Q43164
Q181055,P138,Q144
Q181055,P495,Q183
Q643546,P276,Q8104
Q657621,P186,Q11254
Q224301,P407,Q8641
Q35666,P186,Q23392
Q314771,P106,Q36180
Q314771,P106,Q483501
Q314771,P106,Q28389
Q314771,P91,Q592
Q5043,P807,Q9268
Q3862805,P7937,Q34467
Q3862805,P437,Q34467
Q434945,P2283,Q2095
Q1349983,P828,Q20204151
Q1349983,P1478,Q39552
Q568611,P17,Q38
Q939723,P138,Q161358
Q1048902,P641,Q5369
Q1050571,P641,Q5369
Q12099,P105,Q7432
Q23413,P1382,Q751876
Q1517948,P1542,Q81938
Q34178,P2578,Q9174
Q34178,P2578,Q5410500
Q184418,P1557,Q4
Q184418,P186,Q287
Q184418,P186,Q11426
Q210402,P2175,Q1869874
Q210402,P2175,Q154430
Q8236,P828,Q8434
Q4462003,P17,Q183
Q108266,P140,Q5043
Q1971984,P106,Q28389
Q1971984,P106,Q33999
Q1971984,P106,Q6625963
Q41630,P50,Q9215
Q179157,P1196,Q149086
Q6107,P106,Q33999
Q6107,P106,Q49757
Q6107,P106,Q28389
Q6107,P106,Q36834
Q6107,P551,Q11299
Q6107,P1196,Q149086
Q13649246,P1382,Q34302
Q31,P38,Q4916
Q31,P530,Q38
Q31,P530,Q183
Q31,P530,Q43
Q31,P47,Q183
Q31,P2936,Q8641
Q877517,P2283,Q18545
Q9916,P1050,Q12202
Q9916,P106,Q36180
Q9916,P106,Q372436
Q1199997,P1995,Q9418
Q1414937,P2283,Q728
Q296928,P106,Q33999
Q14088448,P136,Q8341
Q7271927,P136,Q8341
Q281853,P179,Q1377429
Q281853,P136,Q93204
Q541727,P179,Q1377429
Q541727,P136,Q93204
Q266332,P1995,Q9418
Q5283,P186,Q623
Q38,P38,Q4916
Q38,P832,Q21196
Q38,P530,Q31
Q38,P530,Q224
Q38,P530,Q183
Q38,P530,Q43
Q38,P530,Q155
Q13276,P186,Q11002
Q13276,P186,Q8495
Q14674,P186,Q287
Q8877,P106,Q28389
Q8877,P106,Q33999
Q8877,P937,Q34006
Q8877,P140,Q9268
Q6570187,P360,Q8171
Q41148,P106,Q28389
Q41148,P27,Q38
Q567688,P2341,Q189975
Q127552,P127,Q7414
Q127552,P1056,Q7397
Q224,P530,Q38
Q224,P530,Q183
Q224,P530,Q43
Q21071540,P1454,Q783794
Q207389,P40,Q460763
Q7315,P106,Q36834
Q7315,P106,Q36180
Q7315,P106,Q486748
Q7315,P106,Q639669
Q7315,P136,Q1344
Q7315,P1303,Q5994
Q7315,P91,Q6636
Q160796,P1995,Q9418
Q47107,P129,Q11435
Q36949,P106,Q28389
Q36949,P106,Q33999
Q36949,P27,Q38
Q36949,P735,Q4927937
Q154430,P2176,Q210402
Q178,P495,Q38
Q514531,P495,Q38
Q620113,P1542,Q223642
Q11409,P1557,Q8461
Q323470,P106,Q639669
Q652322,P495,Q183
Q241085,P136,Q645928
Q163446,P186,Q42329
Q6663,P186,Q11004
Q6663,P138,Q28803
Q6512,P106,Q4964182
Q6512,P106,Q49757
Q6512,P106,Q36180
Q6512,P106,Q6625963
Q6512,P19,Q1748
Q6512,P20,Q1748
Q6512,P551,Q1748
Q6512,P737,Q8018
Q6512,P101,Q5891
Q6512,P2650,Q5043
Q6512,P2650,Q35986
Q6512,P2650,Q9465
Q6512,P2650,Q9418
Q6512,P136,Q8261
Q6512,P136,Q190539
Q6512,P136,Q185598
Q6512,P136,Q35760
Q6512,P135,Q38066
Q152433,P1056,Q7397
Q193840,P1542,Q4
Q11347618,P641,Q6537379
Q11023,P2578,Q385378
Q11023,P2283,Q413
Q11023,P2283,Q2329
Q378312,P186,Q283
Q749316,P2670,Q213449
Q17052147,P828,Q1121708
Q34505,P105,Q7432
Q500,P105,Q7432
Q13147,P927,Q23640
Q13147,P2670,Q265868
Q12147,P2579,Q11190
Q1041,P530,Q183
Q2853003,P106,Q36180
Q163709,P21,Q44148
Q830183,P26,Q70899
Q177499,P170,Q892
Q327496,P101,Q12684
Q4122037,P1382,Q571571
Q51489,P106,Q36180
Q51489,P106,Q33999
Q51489,P106,Q28389
Q5853064,P2579,Q21201
Q636056,P186,Q1364
Q636056,P186,Q11004
Q3138,P17,Q183
Q213449,P2283,Q2095
Q213449,P276,Q43164
Q213449,P276,Q628858
Q213449,P828,Q165947
Q5685,P106,Q39631
Q5685,P106,Q6625963
Q5685,P106,Q1930187
Q5685,P106,Q36180
Q5685,P106,Q482980
Q5685,P106,Q214917
Q5685,P737,Q9711
Q2348190,P136,Q8261
Q1139658,P106,Q132821
Q1139658,P106,Q53706
Q1139658,P828,Q128593
Q41354,P2079,Q41760
