entity1,relations,entity2
Q723897,P1557,Q215772
Q1424662,P176,Q190
Q6186,P6364,Q3142
Q1731,P190,Q6225
Q1731,P190,Q1055
Q1731,P17,Q183
Q1519476,P1542,Q208351
Q601401,P2579,Q8134
Q362,P828,Q352
Q362,P276,Q159
Q362,P276,Q7204
Q362,P1542,Q2763
Q9458,P19,Q5806
Q9458,P106,Q215536
Q9458,P106,Q432386
Q9458,P106,Q82955
Q9458,P140,Q432
Q9458,P172,Q35323
Q9458,P1038,Q39619
Q9458,P2650,Q432
Q9458,P2650,Q428
Q9458,P800,Q428
Q9458,P551,Q5806
Q9191,P106,Q4964182
Q9191,P106,Q170790
Q9191,P106,Q169470
Q9191,P106,Q11063
Q9191,P735,Q2624417
Q9191,P27,Q142
Q9191,P1412,Q397
Q9191,P135,Q483024
Q9191,P509,Q12192
Q9191,P140,Q9592
Q9191,P101,Q5891
Q9191,P101,Q35277
Q9191,P101,Q9471
Q9191,P101,Q395
Q9191,P737,Q859
Q9191,P737,Q868
Q9191,P39,Q121594
Q41390,P106,Q170790
Q41390,P106,Q4964182
Q41390,P27,Q30
Q41390,P27,Q40
Q41390,P735,Q1158489
Q41390,P140,Q5043
Q41390,P551,Q40
Q218593,P111,Q36253
Q218593,P138,Q83360
Q10261,P101,Q8087
Q10261,P101,Q395
Q10261,P101,Q9465
Q10261,P101,Q7163
Q10261,P106,Q170790
Q10261,P106,Q4964182
Q10261,P106,Q82955
Q10261,P106,Q36180
Q10261,P737,Q35811
Q10261,P1576,Q45996
Q19821,P2670,Q208826
Q3215756,P3712,Q37260
Q18335,P2579,Q413
Q127076,P828,Q974135
Q127076,P828,Q133823
Q127076,P2176,Q251347
Q179448,P1557,Q600499
Q29171,P2868,Q10954043
Q37507,P186,Q287
Q37507,P186,Q389782
Q37507,P186,Q674
Q58848,P138,Q454
Q58848,P2650,Q454
Q40477,P140,Q5043
Q40477,P140,Q432
Q40477,P140,Q23540
Q40477,P140,Q29536
Q40477,P17,Q23522
Q1530061,P1382,Q337349
Q1530061,P1382,Q7949
Q515,P3729,Q3957
Q81727,P4330,Q11435
Q5376671,P495,Q30
Q178794,P1382,Q161439
Q11663,P2579,Q25261
Q35473,P186,Q11469
Q905151,P186,Q11472
Q188075,P186,Q389782
Q9415,P1542,Q205555
Q102083,P511,Q209690
Q670,P138,Q83087
Q1347679,P17,Q30
Q1347679,P452,Q11650
Q177,P495,Q38
Q177,P186,Q178024
Q177,P186,Q10943
Q177,P1419,Q17278
Q23298,P47,Q23240
Q1753718,P17,Q34
Q7944,P1542,Q3839081
Q33741,P1542,Q83301
Q34274,P179,Q1845
Q34274,P407,Q28602
Q1503443,P2283,Q170028
Q12078,P1995,Q162555
Q12078,P2176,Q424972
Q12078,P2579,Q162555
Q22657,P186,Q45190
Q22657,P186,Q283
Q1370714,P186,Q287
Q214267,P175,Q42857
Q45089,P1419,Q812880
Q405,P397,Q2
Q405,P138,Q9128
Q15026,P186,Q11426
Q15026,P186,Q677
Q166118,P101,Q1379672
Q1420,P618,Q39558
Q1420,P618,Q12725
Q1420,P618,Q556
Q1420,P618,Q153
Q1420,P1542,Q61509
Q10690,P190,Q1022
Q10690,P421,Q30192
Q1715,P190,Q340
Q1715,P17,Q183
Q11347618,P641,Q6537379
Q1250464,P122,Q7269
Q315511,P106,Q49757
Q315511,P106,Q36180
Q315511,P509,Q2840
Q1725664,P2578,Q6499736
Q7307,P2283,Q15173
Q2221906,P2579,Q1071
Q169,P462,Q943
Q169,P462,Q3133
Q9471,P2578,Q9081
Q430745,P17,Q30
Q169872,P1557,Q12136
Q47480,P106,Q170790
Q47480,P106,Q121594
Q47480,P106,Q169470
Q47480,P106,Q901
Q47480,P106,Q37226
Q47480,P106,Q81096
Q47480,P27,Q39
Q47480,P512,Q752297
Q519826,P17,Q30
Q41364,P4934,Q11652
Q24489,P462,Q23445
Q22855,P1542,Q192270
Q167037,P92,Q679847
Q643546,P276,Q8104
Q259059,P1382,Q8436
Q11019,P101,Q11023
Q253276,P111,Q36253
Q253623,P2579,Q8134
Q58734,P828,Q19829510
Q7925,P1542,Q8068
Q11473,P2578,Q44432
Q11473,P2578,Q11466
Q11473,P2578,Q11379
Q11473,P2578,Q39552
Q1098,P138,Q324
Q446,P1419,Q17278
Q13649246,P1382,Q34302
Q173387,P1557,Q4
Q181260,P2578,Q37260
Q7561,P462,Q23444
Q17151,P190,Q87
Q17151,P190,Q365
Q17151,P190,Q33486
Q17151,P17,Q41
Q17151,P17,Q12544
Q41354,P186,Q153
Q41354,P2079,Q41760
Q7380,P171,Q7377
Q2400026,P17,Q30
Q17146995,P17,Q30
Q93996,P106,Q169470
Q93996,P106,Q4964182
Q93996,P106,Q121594
Q93996,P106,Q33231
Q93996,P106,Q82955
Q93996,P509,Q12202
Q93996,P140,Q7066
Q93996,P101,Q169470
Q9358,P106,Q4964182
Q9358,P106,Q49757
Q9358,P106,Q36180
Q9358,P106,Q36834
Q9358,P106,Q482980
Q9358,P20,Q3955
Q9358,P937,Q3955
Q9358,P512,Q849697
Q9358,P737,Q1511
Q9358,P737,Q16867
Q9358,P737,Q35811
Q9358,P737,Q692
Q9358,P737,Q859
Q9358,P737,Q868
Q9358,P737,Q9068
Q9358,P737,Q9312
Q9358,P737,Q6691
Q9358,P101,Q5891
Q9358,P101,Q35986
Q9358,P101,Q80968
Q9358,P101,Q9465
Q9358,P101,Q9418
Q9358,P101,Q482
Q9358,P39,Q121594
Q9358,P27,Q183
Q121594,P3730,Q211830
Q9068,P19,Q90
Q9068,P106,Q4964182
Q9068,P106,Q49757
Q9068,P106,Q201788
Q9068,P106,Q482980
Q9068,P20,Q90
Q9068,P1576,Q83364
Q9068,P737,Q35811
Q9068,P737,Q4604
Q9068,P737,Q692
Q9068,P737,Q742
Q9068,P737,Q859
Q9068,P136,Q8261
Q9068,P101,Q5891
Q35160,P674,Q47231
Q35160,P674,Q41127
Q35160,P674,Q165769
Q35160,P674,Q37122
Q35160,P674,Q34201
Q35160,P50,Q6691
Q132137,P2596,Q12544
Q7187,P688,Q8054
Q178481,P178,Q1778572
Q171558,P1542,Q193078
Q171558,P1542,Q4
Q193,P397,Q525
Q583826,P17,Q668
Q5303407,P17,Q30
Q5303407,P131,Q11299
Q2192,P178,Q1122074
Q2192,P144,Q2681
Q80583,P17,Q408
Q1634657,P106,Q193391
Q244680,P1382,Q131877
Q3429278,P17,Q20
Q3429278,P452,Q187939
Q1890836,P277,Q42478
Q2044144,P1462,Q176691
Q127552,P17,Q30
Q127552,P127,Q7414
Q127552,P1454,Q658255
Q127552,P1056,Q7397
Q185534,P1056,Q7397
Q174984,P1542,Q11028
Q14890,P276,Q43164
Q14890,P2283,Q6128
Q3957,P3730,Q515
Q4462003,P17,Q183
Q7590,P121,Q42889
Q291486,P144,Q2681
Q777403,P17,Q30
Q628051,P17,Q30
Q628051,P1056,Q184793
Q628051,P1056,Q7397
Q628051,P1830,Q83570
Q125191,P2079,Q11633
Q180884,P138,Q36864
Q23688716,P131,Q19186
Q864855,P17,Q30
Q864855,P159,Q23556
Q203597,P178,Q8093
Q203597,P176,Q8093
Q164606,P495,Q668
Q5166129,P1542,Q21255975
Q5166129,P1382,Q1367353
Q259011,P17,Q30
Q259011,P1056,Q17517
Q142371,P178,Q835702
Q620207,P927,Q33767
Q3224,P17,Q408
Q3224,P36,Q3130
Q3224,P47,Q36074
Q3224,P131,Q408
Q3224,P832,Q21196
Q1933462,P159,Q24826
Q2599,P106,Q33999
Q2599,P19,Q24826
Q2599,P463,Q1299
Q2599,P27,Q24826
Q2599,P1576,Q83364
Q2599,P1303,Q6607
Q2599,P1303,Q5994
Q2599,P1303,Q8355
Q2599,P1303,Q8338
Q2599,P412,Q27914
Q2599,P1327,Q1203
Q3926,P190,Q9248
Q380962,P1382,Q1145523
Q37340,P22,Q34201
Q37340,P1441,Q8275
Q955464,P140,Q5043
Q955464,P2389,Q102496
Q528313,P159,Q340
Q528313,P1056,Q7397
Q835702,P1056,Q7397
Q83570,P178,Q628051
Q83570,P1073,Q691652
Q83570,P1072,Q691652
Q83570,P123,Q628051
Q1141752,P17,Q159
Q200266,P1478,Q33767
Q333705,P17,Q801
Q333705,P2936,Q9288
Q81881,P1056,Q20204151
Q187471,P17,Q41
Q210064,P2283,Q16491
Q210064,P828,Q235783
Q11369,P2579,Q2329
Q139918,P17,Q664
Q139918,P131,Q664
Q100047,P17,Q30
Q42490,P674,Q715597
Q42490,P495,Q142
Q192027,P111,Q11652
Q332498,P17,Q30
Q332498,P1056,Q7397
Q53121,P2283,Q11442
Q98447384,P360,Q5
Q163214,P2579,Q11473
Q17069120,P17,Q30
Q23240,P47,Q23298
Q23240,P36,Q210985
Q1569447,P17,Q142
Q1569447,P17,Q31
Q1146208,P452,Q21198
Q1146208,P17,Q142
Q527892,P1995,Q7867
Q3859815,P306,Q11368
Q277034,P277,Q83303
Q1411145,P4934,Q11500
Q1436130,P2670,Q987767
Q5288,P737,Q213970
Q245005,P4330,Q6097
Q4917,P17,Q30
Q4917,P1001,Q30
Q10686316,P1995,Q83042
Q6537379,P2283,Q133105
Q577964,P17,Q30
Q247154,P1542,Q11563
Q845566,P2283,Q193231
Q852649,P17,Q30
Q9916,P27,Q30
Q9916,P1050,Q12202
Q9916,P1050,Q166231
Q9916,P607,Q361
Q9916,P607,Q362
Q9916,P106,Q82955
Q9916,P106,Q36180
Q9916,P106,Q372436
Q9916,P140,Q178169
Q5293,P2283,Q3294789
Q746261,P306,Q388
Q4040290,P17,Q30
Q1411882,P178,Q1095605
Q37083,P105,Q7432
Q14674,P186,Q287
Q14674,P186,Q5309
Q129793,P1072,Q2192
Q129793,P1072,Q535473
Q129793,P1072,Q215106
Q129793,P1073,Q2195
Q129793,P1073,Q215106
Q129793,P275,Q185534
Q519022,P2283,Q1075
Q1383362,P1531,Q19939
Q1383362,P1531,Q140
Q5113,P1672,Q81025
Q5113,P1672,Q10990
