entity1,relation,entity2
Q1371819,P1889,Q309100
Q1371819,P828,Q309100
Q20033,P31,Q4167410
Q20033,P1889,Q60955876
Q20033,P1889,Q72589279
Q20033,P460,Q1604505
Q564046,P31,Q4167410
Q564046,P1889,Q37182099
Q226663,P31,Q4167410
Q226663,P527,Q418381
Q226663,P527,Q403306
Q226663,P527,Q26491693
Q226663,P527,Q15623733
Q226663,P1889,Q37531025
Q209577,P31,Q4167410
Q240673,P279,Q1499548
Q240673,P361,Q159810
Q240673,P31,Q151885
Q240673,P910,Q7416774
Q240673,P1687,P2130
Q240673,P461,Q2383321
Q95124485,P31,Q4167410
Q95124485,P460,Q1796457
Q95124485,P460,Q95124610
Q95124485,P1889,Q95124412
Q401277,P31,Q4167410
Q401277,P1889,Q33401127
Q577,P527,Q5151
Q577,P910,Q2945300
Q577,P31,Q1790144
Q577,P31,Q21684377
Q577,P31,Q82047057
Q577,P1889,Q3186692
Q577,P1889,Q1092296
Q577,P1889,Q16929628
Q577,P2959,Q27094353
Q577,P1343,Q1138524
Q577,P1343,Q30059240
Q577,P1343,Q2041543
Q577,P1343,Q602358
Q577,P1343,Q26711932
Q577,P111,Q2199864
Q577,P5008,Q5460604
Q577,P279,Q37640
Q577,P279,Q186081
Q577,P6104,Q3247958
Q16877945,P31,Q4167410
Q16877945,P1889,Q36961117
Q16877945,P1889,Q31906
Q225703,P31,Q4167410
Q225703,P1889,Q174218
Q225703,P1889,Q7943225
Q225703,P460,Q295587
Q46737,P279,Q1554231
Q46737,P361,Q46834
Q46737,P361,Q21094121
Q46737,P910,Q9425522
Q46737,P1687,P2403
Q46737,P461,Q546972
Q46737,P1343,Q2041543
Q46737,P1343,Q20078554
Q46737,P1343,Q4532138
Q46737,P460,Q1275989
Q10948641,P1343,Q2657718
Q10948641,P279,Q676459
Q10948641,P1889,Q5260774
Q189539,P910,Q6571719
Q189539,P279,Q15809678
Q189539,P1552,Q179179
Q189539,P1552,Q26726369
Q189539,P1552,Q26726966
Q189539,P1552,Q1188986
Q189539,P1552,Q309314
Q189539,P1535,Q157470
Q189539,P1535,Q157165
Q2002118,P31,Q4167410
Q2002118,P1889,Q37520494
Q224453,P31,Q4167410
Q384871,P910,Q9455884
Q384871,P31,Q1207505
Q384871,P1382,Q4827427
Q5422222,P31,Q4167410
Q424707,P31,Q4167410
Q424707,P1889,Q36985011
Q8161,P279,Q748289
Q8161,P279,Q7748
Q8161,P279,Q98539598
Q8161,P910,Q8832154
Q8161,P1343,Q2657718
Q8161,P1343,Q19538713
Q8161,P1343,Q2041543
Q8161,P1343,Q19190511
Q8161,P5008,Q5460604
Q8161,P1424,Q14492698
Q2292662,P31,Q4167410
