entity1,relations,entity2
Q2453464,P2176,Q256602
Q2453464,P2176,Q422212
Q2453464,P2176,Q169569
Q1128996,P1995,Q162555
Q212809,P2283,Q580725
Q1076087,P1995,Q162555
Q315860,P682,Q332154
Q315860,P682,Q14859627
Q315860,P681,Q79899
Q315860,P681,Q178999
Q315860,P681,Q7868
Q53121,P2283,Q11442
Q620730,P2175,Q172941
Q366774,P276,Q9377
Q415571,P2175,Q180614
Q422301,P681,Q7868
Q397860,P1995,Q162555
Q397860,P1995,Q171171
Q52946,P2079,Q170475
Q557945,P1995,Q7867
Q1851434,P2578,Q207961
Q200741,P1995,Q162555
Q81163,P828,Q181898
Q81163,P2079,Q181898
Q179723,P2283,Q729
Q179723,P2283,Q5
Q48422,P1557,Q4
Q786852,P1995,Q162555
Q488415,P101,Q514
Q645363,P2176,Q186969
Q645363,P2176,Q409231
Q367700,P2175,Q1485
Q191924,P769,Q418656
Q191924,P2175,Q181923
Q191924,P2175,Q12174
Q589612,P1995,Q162555
Q16499,P689,Q16399
Q16499,P2176,Q377342
Q2357982,P4934,Q126017
Q1333608,P1995,Q162555
Q28693,P1995,Q5284418
Q17278,P156,Q12507
Q409145,P1419,Q201717
Q828224,P111,Q36253
Q1752915,P2175,Q41112
Q1752915,P2868,Q208144
Q1578,P2283,Q1566
Q1578,P186,Q1566
Q6931269,P1995,Q120569
Q578,P111,Q11471
Q326224,P462,Q943
Q326224,P2175,Q133087
Q938983,P1995,Q327657
Q938983,P2176,Q256602
Q938983,P2176,Q409262
Q170990,P1995,Q327657
Q170990,P2176,Q417222
Q170990,P2176,Q421094
Q170990,P2176,Q422232
Q170990,P2176,Q420035
Q170990,P2176,Q424972
Q170990,P927,Q9644
Q482853,P2789,Q13147
Q482853,P2789,Q713102
Q482853,P927,Q133279
Q681160,P1995,Q101929
Q681160,P1995,Q83042
Q681160,P1995,Q171171
Q681160,P780,Q1166142
Q96649518,P1995,Q103824
Q334655,P1995,Q1221899
Q334655,P2176,Q26963
Q165328,P2176,Q407350
Q414986,P2868,Q277954
Q16370,P703,Q5
Q2141048,P1995,Q327657
Q1480291,P1995,Q327657
Q620207,P927,Q33767
Q133500,P1542,Q9081
Q133500,P1542,Q164359
Q133500,P1542,Q46744
Q917177,P1542,Q1121544
Q575,P156,Q7722
Q744305,P1995,Q327657
Q1367353,P1382,Q5166129
Q62736,P1995,Q327657
Q62736,P2176,Q186969
Q62736,P2176,Q419890
Q62736,P2176,Q409231
Q62736,P2176,Q963093
Q62736,P2176,Q2465218
Q62736,P2176,Q408676
Q62736,P2176,Q18216
Q417222,P2175,Q12078
Q417222,P2175,Q101991
Q417222,P2175,Q5958765
Q417222,P2175,Q170990
Q417222,P2868,Q422549
Q9659,P144,Q9887
Q133087,P689,Q5
Q133087,P1995,Q11180
Q133087,P780,Q1166142
Q133087,P2176,Q412486
Q133087,P2176,Q186969
Q133087,P2176,Q409231
Q133087,P2176,Q963093
Q133087,P2176,Q18216
Q133087,P2176,Q326224
Q133087,P138,Q185789
Q105522,P2868,Q133948
Q692536,P1995,Q327657
Q60235,P138,Q8486
Q216935,P2175,Q81938
Q216935,P2175,Q189331
Q216935,P2175,Q170518
Q216935,P2175,Q209583
Q216935,P2175,Q925092
Q229081,P2789,Q176503
Q1682583,P689,Q232358
Q945238,P1995,Q83042
Q945238,P2176,Q273169
Q945238,P2176,Q407541
Q1121544,P828,Q917177
Q980926,P1995,Q83042
Q980926,P2176,Q422232
Q980926,P2176,Q11426176
Q980926,P780,Q38933
Q980926,P780,Q186235
Q1178507,P1995,Q327657
Q9690,P828,Q12167
Q9690,P828,Q1485
Q9690,P828,Q12206
Q107231,P1995,Q83042
Q516389,P2579,Q7162
Q2910873,P101,Q514
Q185789,P111,Q39297
Q16501,P2176,Q773449
Q16501,P2176,Q327362
Q480700,P2176,Q256602
Q12202,P1995,Q83042
Q12202,P2176,Q416331
Q272714,P1995,Q120569
Q12174,P2176,Q191924
Q12174,P2176,Q255680
Q1527888,P1995,Q120569
Q1527888,P927,Q9618
Q1472,P780,Q38933
Q1472,P780,Q9690
Q1472,P780,Q40878
Q1472,P780,Q178436
Q1472,P780,Q189470
Q1472,P1995,Q120569
Q1472,P2176,Q422232
Q1472,P2176,Q422212
Q1472,P2176,Q422252
Q201097,P186,Q11474
Q419935,P2175,Q1734755
Q603644,P1995,Q120569
Q603644,P780,Q133244
Q603644,P780,Q38933
Q127076,P828,Q974135
Q127076,P828,Q133823
Q127076,P828,Q164778
Q127076,P828,Q121041
