entity1,relations,entity2
Q833,P530,Q869
Q833,P530,Q928
Q833,P530,Q96
Q833,P530,Q41
Q833,P530,Q902
Q833,P47,Q869
Q833,P47,Q928
Q833,P150,Q179029
Q666948,P452,Q11451
Q212322,P452,Q7108
Q212322,P1056,Q12140
Q5059055,P452,Q418
Q177882,P17,Q869
Q730,P47,Q142
Q730,P530,Q142
Q730,P530,Q96
Q730,P122,Q7270
Q27564,P1056,Q1420
Q27564,P452,Q190117
Q27564,P749,Q181114
Q1785405,P452,Q11426
Q1785405,P452,Q44497
Q1785405,P1056,Q897
Q1511,P735,Q1249148
Q201097,P186,Q287
Q201097,P186,Q11474
Q842,P530,Q833
Q842,P530,Q902
Q3051909,P452,Q126793
Q221692,P17,Q833
Q153,P2670,Q623
Q18335,P2579,Q413
Q419,P122,Q7270
Q419,P530,Q750
Q419,P530,Q298
Q419,P530,Q833
Q419,P530,Q96
Q419,P530,Q142
Q419,P530,Q77
Q419,P530,Q41
Q419,P47,Q736
Q419,P47,Q750
Q419,P47,Q298
Q516739,P121,Q34442
Q36465,P186,Q2995529
Q46744,P1382,Q9081
Q46744,P1382,Q164359
Q1019,P122,Q7270
Q1019,P47,Q142
Q720398,P2283,Q44432
Q720398,P276,Q274393
Q14076,P186,Q131877
Q14076,P186,Q244680
Q11650,P2579,Q11023
Q1071,P2578,Q2221906
Q33,P530,Q142
Q33,P530,Q35
Q33,P530,Q20
Q33,P530,Q298
Q33,P530,Q43
Q33,P530,Q833
Q33,P530,Q96
Q33,P530,Q41
Q33,P463,Q41550
Q33,P47,Q20
Q33,P47,Q15180
Q750,P47,Q298
Q750,P47,Q419
Q750,P530,Q298
Q750,P530,Q35
Q750,P530,Q419
Q750,P530,Q77
Q750,P530,Q96
Q77,P122,Q7270
Q77,P530,Q298
Q77,P530,Q142
Q77,P530,Q96
Q77,P530,Q419
Q77,P530,Q736
Q77,P530,Q750
Q77,P530,Q31
Q586,P190,Q34217
Q586,P17,Q142
Q586,P206,Q584
Q7998350,P452,Q126793
Q1645436,P1056,Q11422
Q782759,P360,Q5
Q6428674,P2579,Q309
Q35886,P452,Q190117
Q161439,P1382,Q178794
Q4539,P1557,Q380962
Q5611697,P452,Q11451
Q178794,P1382,Q161439
Q1776022,P17,Q20
Q1776022,P1056,Q22656
Q190928,P452,Q474200
Q837281,P17,Q142
Q837281,P138,Q213753
Q133235,P1542,Q3196
Q34217,P190,Q586
Q34217,P421,Q30192
Q1422061,P1056,Q44
Q1904,P47,Q176
Q721587,P452,Q49845
Q152057,P1056,Q22656
Q32,P530,Q142
Q32,P530,Q31
Q32,P530,Q902
Q32,P463,Q41550
Q32,P47,Q142
Q32,P47,Q31
Q9635,P927,Q23640
Q244680,P1382,Q131877
Q2887,P17,Q298
Q2887,P190,Q956
Q2887,P190,Q2844
Q2887,P1376,Q298
Q9401,P1056,Q11474
Q9401,P138,Q83405
Q7398895,P452,Q43183
Q184418,P1557,Q4
Q184418,P186,Q287
Q184418,P186,Q758
Q184418,P186,Q11426
Q460307,P159,Q72
Q460307,P452,Q207822
Q1715,P190,Q340
Q2105,P106,Q599151
Q2105,P27,Q142
Q2105,P39,Q140686
Q2105,P735,Q2624417
Q6147804,P186,Q28823
Q11570,P111,Q11423
Q11570,P459,Q12453
Q11570,P459,Q976981
Q11570,P138,Q41803
Q340,P190,Q1715
Q1110323,P452,Q126793
Q217659,P17,Q32
Q963388,P1303,Q27939
Q142,P530,Q32
Q142,P530,Q33
Q142,P530,Q31
Q142,P530,Q35
Q142,P530,Q298
Q142,P530,Q20
Q142,P530,Q419
Q142,P530,Q43
Q142,P530,Q730
Q142,P530,Q77
Q142,P530,Q833
Q142,P530,Q869
Q142,P530,Q96
Q142,P530,Q41
Q142,P530,Q902
Q142,P463,Q41550
Q142,P47,Q31
Q142,P47,Q32
Q142,P47,Q730
Q142,P35,Q2105
Q14620,P2578,Q9128
Q180687,P17,Q142
Q667790,P17,Q31
Q612403,P1056,Q897
Q679322,P1056,Q22656
Q1783748,P452,Q190117
Q652698,P186,Q11457
Q244997,P106,Q40348
Q244997,P106,Q1930187
Q244997,P937,Q2844
Q43,P122,Q7270
Q43,P530,Q41
Q43,P530,Q15180
Q43,P530,Q298
Q43,P530,Q142
Q43,P530,Q31
Q43,P530,Q33
Q43,P530,Q35
Q43,P530,Q833
Q43,P530,Q96
Q43,P530,Q928
Q43,P530,Q902
Q43,P463,Q41550
Q43,P47,Q41
Q43,P47,Q15180
Q176,P47,Q1904
Q867662,P1056,Q42962
Q35,P530,Q33
Q35,P530,Q142
Q35,P530,Q15180
Q35,P530,Q20
Q35,P530,Q31
Q35,P530,Q750
Q35,P530,Q298
Q35,P530,Q43
Q35,P530,Q833
Q35,P530,Q869
Q35,P530,Q928
Q35,P530,Q96
Q35,P530,Q41
Q35,P530,Q902
Q35,P463,Q41550
Q35,P47,Q20
Q365,P190,Q956
Q365,P206,Q584
Q365,P17,Q142
Q182290,P452,Q601401
Q1347679,P452,Q11650
Q39619,P106,Q16533
Q1044291,P1056,Q11424
Q179029,P17,Q833
Q179029,P131,Q833
Q1323379,P17,Q20
Q20,P530,Q96
Q20,P530,Q15180
Q20,P530,Q35
Q20,P530,Q33
Q20,P530,Q142
Q20,P530,Q833
Q20,P530,Q41
Q20,P463,Q41550
Q20,P47,Q33
Q20,P47,Q35
Q20,P138,Q659
Q20,P138,Q34442
Q19675,P17,Q142
Q19675,P2851,Q693464
